Campaign ID,Date,Region,Ad Impressions,Ad Clicks,CTR,Conversion Rate,CPC,CPM,ROAS
1,2022-01-01,Mumbai,927,62,0.0668824163969795,0.04737859017846863,0.28284238257777616,16.434503509246696,4.455194178879365
1,2022-01-01,Delhi,985,420,0.4263959390862944,0.022787733083149075,0.3807397113918722,16.633016665071242,2.327962860741976
1,2022-01-01,Bangalore,715,381,0.5328671328671328,0.06663147406080658,0.20772010438370536,5.781981668089324,4.259767617301366
2,2022-01-01,Mumbai,984,438,0.4451219512195122,0.09418167977449098,0.3102363207968795,15.549368910931353,1.2329747919149439
2,2022-01-01,Delhi,1929,141,0.07309486780715396,0.014729162732192536,0.5927416443852144,9.626832957664188,3.5818670833828765
2,2022-01-01,Bangalore,1309,448,0.3422459893048128,0.09240626089995624,0.7837003976426907,13.712044590763956,1.845742460036281
3,2022-01-01,Mumbai,1280,251,0.19609375,0.01822920820426558,0.5170655658160377,18.727898734415515,2.7174224247120824
3,2022-01-01,Delhi,1875,415,0.22133333333333333,0.04389635687124408,0.3389145089614897,11.766040886879754,2.0637863980608295
3,2022-01-01,Bangalore,1857,492,0.2649434571890145,0.06709281397055848,0.31208917423216853,13.665369566049515,1.2844811876060849
4,2022-01-01,Mumbai,1553,108,0.0695428203477141,0.052082210555491185,0.8170005444074857,8.688472731725,4.013403169174513
4,2022-01-01,Delhi,1956,339,0.17331288343558282,0.09309037375100959,0.5052783053499941,18.759366293288085,3.5624583122631623
4,2022-01-01,Bangalore,1843,311,0.16874660879001627,0.06614622986690744,0.4636987087643391,15.410333388611699,4.433045680983247
5,2022-01-01,Mumbai,1944,254,0.13065843621399176,0.09953773280209591,0.4281195943461018,7.171371128088565,1.9180987497428599
5,2022-01-01,Delhi,1102,88,0.07985480943738657,0.09025560017807366,0.4533393915012412,5.659608286361232,4.493221104643787
5,2022-01-01,Bangalore,1697,158,0.09310548025928109,0.08234051229838968,0.4037263990750296,16.773329627678194,2.6347426463949226
6,2022-01-01,Mumbai,1489,295,0.19811954331766285,0.057421572983403855,0.18627936021815084,11.172442572776987,4.9961264642267205
6,2022-01-01,Delhi,1002,495,0.4940119760479042,0.020132953016414025,0.5893431519322787,11.69381241475153,2.8752874098348604
6,2022-01-01,Bangalore,1900,404,0.21263157894736842,0.09930957923652159,0.4887801816654054,13.457514551093354,1.7433767221432133
7,2022-01-01,Mumbai,1494,215,0.14390896921017404,0.09140236093757867,0.08496758176013788,11.10966002185257,4.298449783047953
7,2022-01-01,Delhi,925,128,0.13837837837837838,0.013858048072909449,0.6605135083239413,17.365734360959728,2.2421301100512556
7,2022-01-01,Bangalore,1155,403,0.3489177489177489,0.09315507948082204,0.6846200810896739,12.783556516091037,1.0184141223713112
8,2022-01-01,Mumbai,1901,372,0.19568648079957918,0.028242160150343525,0.09650726114710168,8.814908669074116,2.879194913615564
8,2022-01-01,Delhi,722,325,0.45013850415512463,0.055125995099324615,0.7838287464221575,10.628329269059615,3.961406888174904
8,2022-01-01,Bangalore,1708,332,0.19437939110070257,0.04936396937321994,0.48490336483511953,10.02033192813209,1.8771244399500064
9,2022-01-01,Mumbai,1617,185,0.11440940012368583,0.01288006293988094,0.41651783029715106,12.008616016537035,4.907462075303487
9,2022-01-01,Delhi,1584,253,0.1597222222222222,0.07498527603690339,0.9779594793520611,6.044153756520538,2.756721827678038
9,2022-01-01,Bangalore,791,200,0.2528445006321112,0.05243893435021118,0.2175845517570274,19.655365035641935,4.2623566134756645
10,2022-01-01,Mumbai,946,300,0.3171247357293869,0.07215605275299221,0.8736986566626938,12.777992397140594,3.6294916926830165
10,2022-01-01,Delhi,1257,446,0.35481304693715193,0.08336852419974312,0.6012550774329186,18.301290256208787,1.414527679371973
10,2022-01-01,Bangalore,1251,177,0.14148681055155876,0.07165312925326006,0.6620065605933148,7.923765539193754,2.378614250090817
1,2022-01-02,Mumbai,1169,395,0.3378956372968349,0.07762134990352235,0.36621302756014396,13.187447963824049,3.948554695022279
1,2022-01-02,Delhi,987,403,0.4083080040526849,0.07610031304715811,0.8755549936573147,14.940831871666592,1.0234735065590241
1,2022-01-02,Bangalore,692,268,0.3872832369942196,0.050101565802982036,0.8946945722761118,8.571088226317558,3.0436233078604835
2,2022-01-02,Mumbai,672,130,0.19345238095238096,0.06872372285796116,0.06743330411405765,9.550039889243635,3.9185858563386016
2,2022-01-02,Delhi,1317,373,0.2832194381169324,0.07896495878991788,0.7984829268777619,7.70562766015939,4.295668855843191
2,2022-01-02,Bangalore,686,431,0.6282798833819242,0.06355352001878684,0.7832204050284783,17.823225483906768,3.0025643013329764
3,2022-01-02,Mumbai,1643,106,0.06451612903225806,0.07767195033683498,0.34543668249493437,6.447977281956296,3.1584448241192202
3,2022-01-02,Delhi,1634,351,0.21481028151774786,0.05115651258094859,0.2922458676537058,8.402893208161164,2.9904851373569836
3,2022-01-02,Bangalore,592,413,0.6976351351351351,0.04466020680286648,0.2924815616902943,5.81081786582846,4.413713629042913
4,2022-01-02,Mumbai,718,295,0.41086350974930363,0.08386377957683538,0.8713309329978687,17.934484874716603,1.1943832746606344
4,2022-01-02,Delhi,1681,104,0.061867935752528254,0.02586775497184561,0.5258977629115452,18.86293975955703,4.600418156343974
4,2022-01-02,Bangalore,803,110,0.136986301369863,0.08566250030468035,0.1201611940204971,16.35560793306961,4.540347748357858
5,2022-01-02,Mumbai,980,411,0.4193877551020408,0.0896932307744899,0.29239422952947636,12.333910968219794,1.8845042858479508
5,2022-01-02,Delhi,993,499,0.5025176233635448,0.023101085176569926,0.3992406890728232,5.4227784165645385,3.3844364502664828
5,2022-01-02,Bangalore,1093,194,0.17749313815187556,0.02899151024651326,0.07801848833031344,8.230995670087168,1.5662893590312632
6,2022-01-02,Mumbai,652,426,0.6533742331288344,0.09315752676204711,0.8782908960637746,17.354835806917606,4.644687601833146
6,2022-01-02,Delhi,1579,252,0.15959468017732742,0.03231012029388236,0.2294005840333177,6.339690363414077,1.787949712636888
6,2022-01-02,Bangalore,667,324,0.48575712143928035,0.026325423309727237,0.9633595781731259,8.0627547990555,2.2894067118052672
7,2022-01-02,Mumbai,1496,82,0.05481283422459893,0.08709807285332134,0.38378340609318007,11.233746187375193,4.0756917602884215
7,2022-01-02,Delhi,509,320,0.6286836935166994,0.07319449086639403,0.563511961321746,15.369734386306424,2.724951094396769
7,2022-01-02,Bangalore,1608,50,0.03109452736318408,0.056109590572283825,0.31224123443493107,13.183075310710581,3.525210673848115
8,2022-01-02,Mumbai,822,216,0.26277372262773724,0.06700728044575073,0.5802959522442417,11.505308153929782,1.7367263833003155
8,2022-01-02,Delhi,1756,179,0.10193621867881549,0.021922327034261037,0.7715323250189298,8.75783543374644,1.2075698242007098
8,2022-01-02,Bangalore,873,193,0.22107674684994272,0.05520620283451628,0.18375839308017883,15.206933747543864,2.771293791948412
9,2022-01-02,Mumbai,802,59,0.07356608478802992,0.07836977031250131,0.3417475869391122,8.108835103649657,2.967500262167489
9,2022-01-02,Delhi,1417,450,0.3175723359209598,0.09239865421510153,0.3521469756177749,15.160066726164498,4.971120959870939
9,2022-01-02,Bangalore,1391,138,0.09920920201294033,0.05660140278034623,0.7085129527073629,19.28587889249861,4.094179396091658
10,2022-01-02,Mumbai,1228,116,0.09446254071661238,0.05501629841870622,0.5763221591415003,9.072685329045006,2.1303780546686
10,2022-01-02,Delhi,1543,248,0.1607258587167855,0.05735578456860914,0.28679073900023205,14.646758328464824,2.4449221683354723
